FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s
0,281.221666666667,21.3767721097053,315.780000000001,35.3501549597438,323.530000000001,35.2603515636528,323.529666666667,323.529666666667
1,15.621,6.74928973388402,414.068,31.8872729184258,414.068,31.8872729184258,414.068,414.068
2,126.876274745606,13.5377763450013,61.9877021276596,5.90287682632075,83.284829787234,8.78710734317788,79.196574468085,79.196574468085
3,11.853350877193,4.32867420837011,10.2246315789474,4.00867108810964,20.9755789473684,4.07151005189598,11.0358947368421,11.0358947368421
4,10.8926483516484,3.57911591659943,9.96164285714284,3.87549104159287,20.7629285714286,4.01616798882943,10.6719285714286,10.6719285714286
5,10.9001210526316,3.36602818268665,9.65435,2.60931065217992,20.63575,4.12150412273648,9.9956,9.9956
6,146.597,11.1585284464585,79.3591666666667,6.4693415014819,86.686,6.3129876737504,79.1390000000001,79.1390000000001
7,10.9105321637427,5.54260571693911,8.89200000000001,4.67303888342258,21.0727368421053,3.94887528128938,10.7054736842106,10.7054736842106
8,16.6362857142857,6.20745725906582,14.8581428571428,5.61293822378935,22.4827142857143,4.5282381605651,14.5924285714286,14.5924285714286
9,61.748044117647,5.6746116992658,37.3471176470588,4.46414573079288,44.8514117647059,4.13015710683491,11.7659411764706,11.7659411764706
10,38.1453251231527,3.50390458894874,22.2907931034482,2.65283014804151,34.2993448275862,4.1172456576869,4.78986206896553,4.78986206896553
11,8.23506487025948,3.52160045402107,5.36596428571428,2.00665032827248,21.6011904761905,4.69218481869045,5.80117857142858,5.80117857142858
12,9.99555844155845,4.79047075301541,5.69518181818182,3.44071796557507,22.1157727272727,4.3631466871846,9.88186363636362,9.88186363636362
13,14.2607078039927,6.0369761295296,7.13237931034483,3.30354154307133,23.0542068965517,4.42654362692936,12.0908275862069,12.0908275862069
14,5.19367994310099,3.34621584485418,3.02021052631579,1.54017832716649,21.6346052631579,4.63494381357378,6.43065789473682,6.43065789473682
15,7.20882886216464,4.53395426170168,4.21504255319149,2.32756884357553,21.812914893617,4.65570545367792,6.96729787234044,6.96729787234044
16,13.2516888888889,2.49072077387857,23.0248,6.95775504852789,24.4996,6.31780931609641,26.0832,26.0832
17,15.2629,4.78126071701222,23.4686,6.7932527056133,24.8654,6.17211291356679,26.3706,26.3706
18,13.425432748538,2.97303286574142,22.9804736842105,6.98860306994669,24.4721052631579,6.34017671497137,26.0902631578947,26.0902631578947
19,12.5152857142857,1.9386783643325,22.862625,7.07984059688157,24.412875,6.39243747456645,26.001125,26.001125
20,21.2220165165165,3.79388556366965,16.8006216216216,4.55888599242113,23.8385675675676,5.00520492882364,26.8784054054054,26.8784054054054
21,12.6459,1.51306065395362,23.1514,6.94562306202402,24.6288,6.26767375461537,26.0968,26.0968
22,181.861834352701,13.9058639846952,414.068,31.8872729184258,414.068,31.8872729184258,414.068,414.068
23,15.5366779388084,4.06204748744903,12.4283086419753,2.64590663554908,22.1193580246914,4.2029558584578,10.4595185185185,10.4595185185185
24,50.0607365853658,3.91576006521669,30.4731951219513,2.65683879878959,39.8691219512195,4.2333144599209,29.2579756097561,29.2579756097561
25,168.175111111111,12.534915816801,99.6611111111111,7.44263686207682,108.218222222222,7.78013112783404,93.527,93.527
26,11.1212603174603,5.33918722562651,11.2435,6.74931101823184,23.6371388888889,5.35832421189783,18.0691944444445,18.0691944444445
27,122.94258974359,9.44131740584899,70.0256923076923,5.65549208895947,81.1778461538463,6.08799012141059,69.9733076923078,69.9733076923078
