FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s
0,188.493666666667,14.2058669370515,210.519666666667,23.5653711559508,215.815333333334,23.3779426854504,215.764333333334,215.764333333334
1,13.447,3.16689441254681,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042
2,96.1378695652173,12.0551862498711,45.1329361702127,4.81138765530218,65.2392765957447,9.0347691062817,62.2596382978723,62.2596382978723
3,9.55798245614034,2.22528806278289,8.42936842105263,2.13310772964222,15.6060526315789,3.04376127447479,9.048,9.048
4,8.6779120879121,1.88390464828292,8.05178571428571,2.20018804527646,15.4895,3.05589237837791,8.69857142857142,8.69857142857142
5,9.22729473684214,1.51028668805573,8.44884999999999,1.15904899468145,15.4426,3.0850547487529,8.6843,8.6843
6,98.9954666666667,7.3061124223226,54.3238333333333,3.96803401356662,59.0821666666667,4.3005676846421,54.2481666666666,54.2481666666666
7,8.40709941520467,3.45115215032362,6.91731578947369,2.92088897780719,15.6741052631579,2.98818847586966,8.56842105263158,8.56842105263158
8,12.5604285714286,3.46710712332251,11.2752857142857,3.08828930259631,16.388,3.16736200324665,11.2498571428571,11.2498571428571
9,42.7204558823529,3.32650720598914,26.4538823529412,2.40523596613437,31.2969411764706,2.99553587176559,9.77052941176471,9.77052941176471
10,27.0298325123153,2.07573396987869,16.6169655172413,1.68360004336376,24.4805862068966,3.04350835758189,4.62700000000002,4.62700000000002
11,7.0702127887083,2.01448496273216,4.82351785714285,1.19838351500428,17.5191785714286,6.04925265145811,5.16085714285714,5.16085714285714
12,8.21807359307359,3.39420498944099,4.67759090909092,2.3704080736606,17.9066363636364,5.89237418642873,8.26727272727273,8.26727272727273
13,17.9099261947974,6.89153981666042,8.22803448275862,3.41995240762611,21.6685689655172,6.11514927052796,13.5403965517242,13.5403965517242
14,4.24135704125178,2.14017257312796,2.62384210526316,0.989965138564945,17.5177894736842,6.04776658130059,5.29897368421052,5.29897368421052
15,5.6995365402405,2.86630473769756,3.53821276595745,1.45767945528359,17.6177872340426,6.05225067645911,5.67321276595746,5.67321276595746
16,12.1192222222222,0.890706565231131,16.7426,5.05053989125848,17.6077,4.89110965565726,18.8359,18.8359
17,12.6538,2.19507264205626,16.9504,4.99882066572187,17.7856,4.83926555699635,18.9892,18.9892
18,11.744649122807,1.18532622814826,16.6748947368421,5.11553512784758,17.5626315789474,4.93914056430328,18.82,18.82
19,11.82325,0.810290284144682,16.6725,5.09639868235694,17.55125,4.93674309336326,18.789125,18.789125
20,19.3746936936937,4.84974785709819,12.1759729729729,3.34991148991473,18.2921081081081,4.2865969441813,21.7129459459459,21.7129459459459
21,12.1119,0.545055479263788,16.8532,4.99083140951067,17.6756,4.85210754081024,18.8512,18.8512
