FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s
0,190.187666666667,14.1715894840367,210.522333333334,23.5628860649713,215.699,23.490039564388,215.694666666667,215.694666666667
1,18.502,1.6433796568951,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042
2,86.2842793709528,9.1662722616492,42.3757872340425,3.93824262894487,57.6670212765958,5.86084511468936,55.3121489361702,55.3121489361702
3,11.8929532163743,1.37916340135304,10.408052631579,1.55609081470516,15.7184736842105,2.03050666178763,10.9931052631579,10.9931052631579
4,10.8114835164835,1.16032269688617,9.80992857142858,1.7596366710407,15.5951428571429,2.02092910319844,10.4453571428572,10.4453571428572
5,12.2244315789474,0.729648285343367,11.39425,0.600478985904179,15.58065,2.02723771923035,11.46855,11.46855
6,100.812666666667,7.18042789581437,56.5299999999999,3.70049761133018,59.1818333333334,3.9273400065827,56.4648333333333,56.4648333333333
7,9.39658479532164,2.72787072708535,7.79789473684211,2.58645277114881,15.7306315789474,2.01137247593912,9.55394736842106,9.55394736842106
8,15.1181904761905,2.50287465940646,13.5992857142857,2.19011698974171,16.5304285714285,2.29225001796024,13.614,13.614
9,45.0468823529412,2.8647935659299,28.8416470588235,1.71463352363399,31.395,2.21680588430171,12.4611764705882,12.4611764705882
10,29.0746403940887,1.68440011859175,18.3676206896552,1.20200445361154,24.6057586206896,2.1132539348043,6.10151724137933,6.10151724137933
11,8.95517607641859,1.41995837281203,6.30485119047619,0.863482972629885,16.997125,2.49506968936853,6.62152380952381,6.62152380952381
12,8.41099999999999,2.6622101482478,5.17509090909091,1.97908162283797,17.1617272727273,2.45716731556303,8.50559090909092,8.50559090909092
13,11.8813484573503,3.79652070898464,6.34975862068965,2.00169822854902,18.0258103448276,2.53781014088274,10.2090517241379,10.2090517241379
14,5.03578662873399,1.87311175009209,3.30463157894737,0.87570532299473,16.9896052631579,2.50101936784769,6.06386842105262,6.06386842105262
15,6.71285476410732,2.49106824863061,4.3733829787234,1.27345071510598,17.0949361702128,2.50827894896679,6.50272340425532,6.50272340425532
16,17.0897333333333,0.328837479110752,18.2098,2.57039897893517,18.4227,2.61076057515444,18.8657,18.8657
17,17.1445999999999,1.20024640446512,18.1482000000001,2.67749990957345,18.3884000000001,2.70717458510423,18.8872,18.8872
18,16.2459941520468,0.510317938920497,17.6561052631579,2.87096379927331,17.9587368421052,2.90089164877861,18.5737368421052,18.5737368421052
19,16.9453571428572,0.295980258627449,18.065875,2.63144577490042,18.303,2.67155445447088,18.783625,18.783625
20,18.4136876876877,2.01546753529185,13.1829189189189,1.73116134990366,17.7404324324324,2.47914239443335,19.4796486486486,19.4796486486486
21,17.2495,0.427718006042176,18.3928,2.50547911298131,18.5824,2.54483131197461,18.9708,18.9708
22,124.472843017329,9.02372623383887,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042
23,15.9896405183651,1.79243476902343,13.9261419753086,1.03173515954911,16.6982160493827,1.93748547710746,11.9087407407407,11.9087407407407
24,38.9785134146341,2.0719076659904,25.8974634146342,1.15249029312858,28.4791951219512,2.02498631372178,24.9352682926829,24.9352682926829
25,114.406222222222,8.25534254183024,69.206,4.7652860316364,73.5004444444445,4.99477598053583,62.8058888888889,62.8058888888889
26,10.8748603174603,2.49958916731436,10.0373888888889,3.23227770071921,17.4083611111111,3.75448232047347,14.3058055555556,14.3058055555556
27,84.2380641025641,6.11247016264463,49.1496153846153,3.50251744139038,55.6400769230769,3.72329369346041,49.2240769230769,49.2240769230769
28,11.1522666666667,1.32352304178319,10.7496666666667,1.1052900068908,15.5901666666667,2.08063935930204,7.22349999999997,7.22349999999997
29,11.766,1.69532242305649,10.4145,1.12102473052402,15.567,2.07432249513275,10.0135,10.0135
30,12.695,3.17711647080637,11.4035,1.69227703156178,15.792,2.23668029426173,6.032,6.032
31,78.5592761904761,5.40656341534571,47.7055333333333,3.07668722417253,50.662,3.34155349463918,13.1073333333333,13.1073333333333
32,13.2455054945055,1.38679092333567,12.6580714285714,1.29648875122835,15.8342142857143,1.9443126217146,11.5678571428572,11.5678571428572
33,75.7324505928854,5.20257999642005,44.6340869565217,3.288141730886,50.0893043478261,3.23533899736637,6.50373913043478,6.50373913043478
34,9.43338888888888,1.26099803286063,8.85077777777778,1.32986866335472,15.5297777777778,2.06904562281636,2.1261111111111,2.1261111111111
35,12.1183567251462,1.38311989334246,11.0199473684211,1.2107305749153,15.7367894736842,2.00236315609867,6.32957894736845,6.32957894736845
36,13.4884842105263,0.703513691965893,12.6633,0.74102782149676,15.74015,1.92699735243624,11.2816,11.2816
37,70.3881666666667,4.94948790794778,40.4651111111111,2.89136339014293,44.658,2.98587635887187,39.0764444444444,39.0764444444444
38,7.65747272727274,4.7334632978208,0,0,16.5913636363636,2.70315109224038,9.13181818181819,9.13181818181819
39,8.53770175438597,2.50968617968607,7.239,2.2341421545618,15.6675789473684,2.02086926007249,7.15278947368421,7.15278947368421
40,11.2586153846154,1.86258279783485,9.30137037037037,1.51888886678545,15.8681111111111,2.00973718219171,5.458,5.458
41,15.0049724137931,4.85227273326006,6.94676666666667,3.15258156727405,18.0351,2.68668292584609,9.13030000000001,9.13030000000001
42,12.3040718954248,6.89850428660285,2.77777777777777,1.51645611387806,18.8298888888889,4.81456845831587,13.0358333333333,13.0358333333333
43,6.60439285714286,2.64064287040177,6.103,2.33992334088987,15.648,2.06292611699115,6.15575,6.15575
44,7.78399999999999,1.85247706387399,7.12826666666668,1.71777393693394,15.6147333333333,2.0657291285132,6.94813333333333,6.94813333333333
45,7.17493406593406,1.5546140355603,6.52785714285715,1.7843851767571,15.5533571428572,2.07645950770738,6.70935714285714,6.70935714285714
46,8.82286666666663,3.48057664066305,7.47966666666666,2.74066862037513,15.8955,2.12681759986678,7.83733333333333,7.83733333333333
47,18.351,1.39202612645625,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042
