FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s,RL_Eg_d,RL_Cm_d,RL_Ca_d,RL_Ch_d
37,66.9805277777778,5.64127984015987,36.9808888888889,4.05039439822851,43.5717777777778,3.46923260729595,35.5689999999999,35.5689999999999,-0.0243403177472605,-0.0424254978832507,-0.00297470735983432,-0.0466971608310906
38,7.40372727272727,4.82238638471673,0,0,15.425,3.32277554537291,7.51109090909091,7.51109090909091,-0.0146827883756439,NaN,-0.00847913233573335,-0.0958613293698909
39,6.24332163742689,3.48364156594345,4.91489473684211,2.82016947707494,14.4209473684211,2.78582265914768,4.45631578947368,4.45631578947368,-0.143031443353148,-0.180254044609843,-0.00990821709764989,-0.232672370057536
40,7.79037606837606,3.26368096719272,6.03566666666666,2.47107576748363,14.613962962963,2.81582930919816,2.79485185185185,2.79485185185185,-0.163549989592817,-0.200040252509892,-0.00977980997260023,-0.326715977129111
41,13.9785494252873,5.13000415071357,5.48306666666667,3.38331725580549,16.9153,3.20859122268651,7.89183333333333,7.89183333333333,-0.0329706417959746,-0.113771422715831,-0.00689651123287982,-0.079043080809917
42,11.9835751633987,7.10205484294887,2.3495,1.67136134761753,17.9703888888889,5.27000636972005,12.1702777777778,12.1702777777778,-0.0144180348568399,-0.0890272273000642,-0.00452089026762159,-0.0357842382220675
43,5.06532142857142,3.13406939315551,4.340375,2.65773146139634,14.36625,2.85087502811434,4.1425,4.1425,-0.115658007961971,-0.162998674219597,-0.0101713015993317,-0.207916059179235
44,4.90553333333334,2.76686209639433,4.381,2.37499277931806,14.317,2.86749836620941,3.96006666666667,3.96006666666667,-0.223295363742264,-0.240701584110366,-0.0107604645081467,-0.276215425872802
45,4.16698901098902,2.41990259615415,3.90035714285714,2.27930041656653,14.2314285714286,2.89486079017709,3.62521428571429,3.62521428571429,-0.26255153634624,-0.247937526671097,-0.0110391931097483,-0.304276901970979
46,7.07806666666666,4.33982971321657,5.74249999999999,3.29392780386026,14.689,2.86948730644452,5.66383333333333,5.66383333333333,-0.107664248909168,-0.122769050583155,-0.00958566981478504,-0.161493288582636
47,8.313,4.74357803061491,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042,-0.365516715005343,0,0,0
48,6.354,6.12700777086374,10.4875,6.95693846046826,16.0135,4.03675155454396,10.3295,10.3295,-0.175768582176677,-0.056455240665767,-0.00543444506552379,-0.0598862343572242
49,3.42852380952381,3.02020243597571,0.806714285714284,0.964322295146957,14.4391428571429,2.9013332367857,4.82128571428571,4.82128571428571,-0.0388086401618147,-0.0820871261245134,-0.00956393924453056,-0.117903815989655
50,9.59719999999999,3.47080808922778,11.9829,5.79033380346553,16.6881,3.83801494900017,12.0169,12.0169,-0.166239046503333,-0.0569769180523967,-0.00384420235785698,-0.0592467335227857
51,4.0169010989011,3.2659237468563,1.83400000000001,1.55303152812024,14.3478571428572,2.8092739420188,3.49971428571428,3.49971428571428,-0.10380335248508,-0.160256410256407,-0.00922852309103705,-0.135079790999511
52,9.08684848484848,3.10680498550105,8.45383333333333,4.191541601036,15.2095,3.08789173724347,8.35608333333333,8.35608333333333,-0.218500622787304,-0.184995942895248,-0.00770937085276953,-0.193733064174988
53,6.06183333333333,4.19102111227314,6.1595,3.76563271439737,14.64075,2.94525915480947,5.8345,5.8345,-0.263685318638608,-0.221621963163049,-0.00908629441624366,-0.241583257506824
54,186.494,14.2643024088843,187.029666666667,14.4024147085941,189.029666666667,14.2178698568988,187.018,187.018,-0.00957003866253218,-0.00163520803974394,-0.000148102959740668,-0.00162998024834639
55,NaN,NaN,9.765,6.12971029889248,15.453,3.93157071006593,9.658,9.658,NaN,-0.214463840399003,-0.00764192139737991,-0.222696177062374
56,2.74446428571428,1.60840551913293,2.942875,1.99964864515722,14.237875,2.8564285468778,2.774625,2.774625,-0.293340322203097,-0.253740332192215,-0.00972857366416859,-0.279224574620081
57,5.31566666666667,1.38296800012807,9.367,5.92802264270747,15.331,3.83833798735493,9.25633333333333,9.25633333333333,-0.461177186121813,-0.211753155739619,-0.00780929780869166,-0.220497417409468
58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,10.607,4.37161854641757,9.23283333333333,4.14971657772591,15.3501666666667,2.8365690321009,9.17499999999999,9.17499999999999,-0.0660276014904273,-0.0698490521661649,-0.00583968394590761,-0.0765591975013743
61,7.049,3.33132056348478,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042,-0.441442155309033,0,0,0
62,5.569,4.23262969726318,9.907,4.93205597861339,15.058,2.91884491805504,9.9245,9.9245,-0.307682744903033,-0.108762144656351,-0.00485741664739127,-0.108671247025012
63,143.128666666667,10.7792662976312,74.11925,6.24991226665149,80.567,5.72288278644491,75.16875,75.16875,-0.00149873090396857,-0.00435230863778801,-0.000957910824392396,-0.0047103919920026
64,17.483,4.9461272906361,6.8335,3.44200161608404,15.8525,2.84545081495716,9.94,9.94,-0.00347697218422252,-0.108828899321857,-0.00577001473862464,-0.0809486385280386
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,5.305,1.39248882805117,8.77333333333333,4.53851398811676,14.7726666666667,2.99290816381907,8.76966666666666,8.76966666666666,-0.418906090273802,-0.188806016208101,-0.00692405942435654,-0.189894075683549
67,5.97385454545452,3.24444020270418,5.55036363636364,3.19468309582145,14.5032727272727,2.79651344761102,5.40800000000001,5.40800000000001,-0.239182686744126,-0.214173552658041,-0.00837870764132896,-0.225759429416325
68,12.499,6.64425655323041,12.4725,4.86422187039247,16.004,3.27631167904066,12.4855,12.4855,-0.0903202328966521,-0.0632745024408561,-0.00385908128967992,-0.0633533383345836
