FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Ca_s,RL_Ch_m,RL_Ch_s,RL_Cm_n,RL_Ca_n,RL_Ch_n,Node_den
0,188.493666666667,14.2058669370515,210.519666666667,23.5653711559508,215.699,23.490039564388,215.694666666667,215.694666666667,631.559000000001,647.097000000001,647.084000000001,0.945438024686686
1,13.447,3.16689441254681,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042,552.084,552.084,552.084,0.251202784291995
2,86.1210675300649,9.18831894598758,42.1201276595745,3.96703817017581,56.9529361702128,6.04147219129637,54.5215319148937,54.5215319148937,1979.646,2676.788,2562.512,1.68585325044861
3,9.45257894736841,2.20249254443945,8.25552631578947,2.11436443161818,14.6003157894737,2.59340050521976,8.83042105263157,8.83042105263157,156.855,277.406,167.778,30.5446280910074
4,8.58970329670331,1.83572583004302,7.89042857142858,2.15465417081728,14.4564285714286,2.58360035747282,8.48042857142857,8.48042857142857,110.466,202.39,118.726,34.6798937608077
5,9.19009473684214,1.48431576104488,8.40884999999999,1.13794292106045,14.40175,2.61357613581805,8.57985,8.57985,168.177,288.035,171.597,54.1253030863582
6,98.9526666666667,7.30586048150065,54.2676666666666,3.95330169110929,58.2675,4.15610933115941,54.1814999999999,54.1814999999999,325.605999999999,349.605,325.089,26.3417312341509
7,8.09650292397661,3.2725102690454,6.69368421052632,2.84476632881308,14.6476842105263,2.54440861295998,8.20773684210526,8.20773684210526,127.18,278.306,155.947,54.1121815264817
8,12.5097142857143,3.48143944527077,11.214,3.09031386011838,15.5048571428571,2.88478988950394,11.1655714285714,11.1655714285714,78.4979999999998,108.534,78.1589999999999,19.5404569220136
9,42.6121911764706,3.33659337640481,26.2849411764706,2.36607626196432,30.4081764705882,2.66798033809892,9.63105882352942,9.63105882352942,446.844,516.938999999999,163.728,39.3366053746072
10,26.8410295566503,1.9969738846939,16.3009310344827,1.46761143957068,23.4811724137931,2.62811576360367,4.43693103448277,4.43693103448277,472.726999999999,680.953999999999,128.671,40.9914551887531
11,6.92745772740233,1.89212202328242,4.73489285714286,1.09744480593811,15.321119047619,3.22725694871613,5.04657142857143,5.04657142857143,795.462,2573.948,847.824000000001,46.7106744416855
12,7.57484415584416,3.05324521285941,4.45950000000001,2.20127235436174,15.6319090909091,3.10382832497742,7.60677272727273,7.60677272727273,98.1090000000002,343.902,167.349,25.5248381471409
13,11.2553236539625,4.07156964459311,5.74491379310344,2.18763620233324,16.5971034482759,3.15480607444582,9.49943103448276,9.49943103448276,333.205,962.632,550.967,37.8426371428992
14,4.1716813655761,2.06110759102777,2.59742105263158,0.947149315524179,15.3137105263158,3.22943897017318,5.11410526315789,5.11410526315789,98.7020000000001,581.921,194.336,42.5140655628773
15,5.63295929694726,2.79609677367612,3.51657446808511,1.42811744844845,15.4270212765958,3.24604400349949,5.51363829787235,5.51363829787235,165.279,725.07,259.141,31.2524909667014
16,12.1141555555555,0.886115189474771,15.9605,4.10840464642161,16.7815,3.91071623253995,17.747,17.747,159.605,167.815,177.47,9.51487417904967
17,12.6495,2.19416820780087,16.169,4.08351737037007,16.97,3.88048426851059,17.917,17.917,80.8450000000001,84.8500000000001,89.5850000000001,7.86974100296032
18,11.7277134502924,1.17460413685606,15.8524736842105,4.21047830401739,16.7167894736842,3.98729533856155,17.7251052631579,17.7251052631579,301.197,317.619,336.777,12.1659184736832
19,11.7781428571428,0.754093322057039,15.855375,4.17993823136096,16.71375,3.97272336923533,17.693625,17.693625,126.843,133.71,141.549,8.23522614885475
20,16.0967042042042,2.4474858341466,11.6474054054054,2.71139147728352,16.5442162162162,3.23103595742139,18.676054054054,18.676054054054,430.953999999999,612.136,691.013999999999,3.10153221604166
21,12.1095,0.545396376232191,16.079,4.04594719301781,16.8672,3.86333657989173,17.7678,17.7678,80.395,84.336,88.839,3.16574607106911
