FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s
0,188.515666666667,14.199955162447,210.519666666667,23.5653711559508,215.699,23.490039564388,215.694666666667,215.694666666667
1,13.521,3.14379427482819,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042
2,86.1223348751155,9.18738910721506,42.1224893617021,3.96593270455468,56.9539787234043,6.04035019890485,54.527255319149,54.527255319149
3,9.46138011695905,2.1998818596577,8.26294736842105,2.1133570138279,14.6005789473684,2.59360092646609,8.83947368421052,8.83947368421052
4,8.60670329670331,1.82818053141118,7.90250000000001,2.14968141507265,14.4556428571429,2.5857042114926,8.4935,8.4935
5,9.21185789473687,1.47402026949977,8.42369999999999,1.13068419850848,14.4029,2.61208720941502,8.59545,8.59545
6,98.9798666666667,7.28181949100251,54.2909999999999,3.94261995899046,58.2678333333333,4.1552514669563,54.2063333333332,54.2063333333332
7,8.09856725146199,3.26954056873405,6.70352631578948,2.8408270462344,14.6467894736842,2.54799208665293,8.2176842105263,8.2176842105263
8,12.5175714285714,3.476821460598,11.2232857142857,3.08380898524038,15.5057142857143,2.88449087961348,11.1747142857143,11.1747142857143
9,42.6271544117647,3.33125226595426,26.3021764705882,2.36060272321353,30.4097058823529,2.66621837038891,9.64894117647059,9.64894117647059
10,26.8531748768473,1.99095493642137,16.3123448275862,1.46515289101186,23.4826896551724,2.62587075345698,4.44200000000001,4.44200000000001
11,6.93517301112061,1.88909300168557,4.74028571428571,1.09551862869955,15.3220714285714,3.22553819380947,5.05307738095238,5.05307738095238
12,7.5831341991342,3.04713913079924,4.46659090909091,2.19808860725484,15.6335,3.10187556595276,7.60536363636364,7.60536363636364
13,11.2585450695705,4.06843704184989,5.7471724137931,2.1853573658656,16.5973793103448,3.15289661672311,9.5003275862069,9.5003275862069
14,4.17492460881934,2.05997952412494,2.60568421052632,0.945772552561259,15.3149736842105,3.22743382557863,5.10968421052631,5.10968421052631
15,5.6324486586494,2.79821692587002,3.51868085106383,1.43021518096292,15.4284893617021,3.24364748931059,5.51151063829788,5.51151063829788
16,12.1671111111111,0.85971752647974,15.9749,4.09307625915561,16.7864,3.9044538414226,17.75,17.75
17,12.6892,2.17146923502007,16.174,4.07736543725342,16.9708,3.87850875855529,17.9166,17.9166
18,11.7500877192983,1.1701741628842,15.8614210526316,4.2001856290313,16.7205789473684,3.98224186478675,17.7271578947368,17.7271578947368
19,11.83525,0.738077274348593,15.871375,4.16289273345895,16.721,3.96300730846246,17.69725,17.69725
20,16.1019684684684,2.44261345515137,11.6517837837838,2.70732048004999,16.5474324324324,3.22556798996492,18.6766216216216,18.6766216216216
21,12.1218,0.541699361452645,16.083,4.04172816584276,16.872,3.85679801012327,17.7678,17.7678
22,122.39478406388,9.12538889451593,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042
23,12.5292877079978,2.14848298822451,10.5641234567901,1.32529833224136,15.3810370370371,2.66654903398206,8.97836419753086,8.97836419753086
24,35.5140146341463,2.24462794460903,22.5528536585366,1.36812584382471,27.2002926829268,2.6921148740326,21.6844146341464,21.6844146341464
25,112.976972222222,8.29967016036859,67.5323333333334,4.84870304998625,72.6237777777778,5.13643247239577,62.5116666666667,62.5116666666667
26,8.95465714285715,3.10896472394122,8.62469444444444,3.9875393190414,16.8109722222222,4.1595524642793,13.5899722222222,13.5899722222222
27,82.9106538461537,6.19437955964046,47.7293846153847,3.62173619194579,54.6630769230769,3.97016791070054,47.7269230769231,47.7269230769231
28,8.54966666666669,2.09254570447173,8.23683333333333,1.78274268390943,14.4468333333333,2.63304230366395,5.38816666666667,5.38816666666667
29,9.548,2.71386459888128,7.92,1.64432472577766,14.4125,2.63116262643851,7.358,7.358
30,10.864,4.18198433677041,9.0435,2.24619748756719,14.699,2.75108478013083,5.0205,5.0205
31,76.7118761904762,5.56302510245623,45.5973333333333,3.37709439375361,49.7660666666667,3.58750902048805,10.2202666666667,10.2202666666667
32,10.4036483516483,2.24033388571693,9.8992142857143,1.9044321880544,14.6958571428571,2.53473896405559,8.96821428571428,8.96821428571428
33,74.2878853754941,5.30002295391455,42.9915652173913,3.43149027829993,49.1730869565217,3.45888011327762,5.01773913043478,5.01773913043478
34,7.27652777777776,1.78977774187806,6.89211111111112,1.61892531589252,14.3645555555556,2.61678506854482,1.48766666666667,1.48766666666667
35,9.72871345029239,2.1080953888987,8.73200000000001,1.79028974472208,14.6127368421053,2.55778838830231,4.59284210526315,4.59284210526315
36,9.8976157894737,1.21818088932278,9.4392,1.45835014490524,14.53365,2.58576610772588,7.97199999999998,7.97199999999998
37,68.6519166666668,5.18136470856619,38.6196666666667,3.30232504027985,43.702,3.31205322432449,37.3096666666668,37.3096666666668
38,7.51449090909092,4.77837415522643,0,0,15.5579090909091,3.12574544554982,8.32063636363637,8.32063636363637
39,7.29007602339181,2.96711239418883,6.0067894736842,2.49680840698606,14.5662631578947,2.54737575710802,5.81126315789474,5.81126315789474
40,9.32037891737893,2.51985314548611,7.55022222222221,1.92254681616194,14.7604814814815,2.57335093691271,4.15496296296296,4.15496296296296
41,14.4561632183908,4.98748475589511,6.19176666666667,3.25477908777901,17.0333666666667,3.06306112466817,8.57176666666667,8.57176666666667
42,12.1595947712419,6.98465144976719,2.58205555555556,1.55685737568396,18.0508888888889,5.18983862879128,12.6289444444444,12.6289444444444
43,5.73310714285713,2.90462020611234,5.202,2.46540295118501,14.5155,2.61097121214897,5.237125,5.237125
44,6.31445714285715,2.27133011656435,5.77786666666666,1.97070952547848,14.4754,2.60638388689287,5.46866666666666,5.46866666666666
45,5.66421978021979,1.94529294910432,5.20178571428571,1.97405643588966,14.3933571428571,2.62651518279923,5.21064285714285,5.21064285714285
46,7.95373333333333,3.88866658252057,6.55733333333334,2.9795565631262,14.8333333333333,2.63626522542463,6.75266666666668,6.75266666666668
47,13.159,2.79419514825408,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042
48,7.709,5.41605508212877,11.1165,6.37784090461689,16.101,3.91345296561924,10.985,10.985
49,3.56776190476189,2.93011004734648,0.879142857142869,0.917021459360877,14.5825714285714,2.66279486955598,5.47285714285714,5.47285714285714
50,11.5286444444444,2.94675467350471,12.7105,5.10985424061786,16.7536,3.75442442229733,12.7785,12.7785
51,4.48659340659341,3.0544392420615,2.18957142857144,1.44049840969068,14.4845,2.58623404195851,4.05328571428571,4.05328571428571
52,11.6431363636364,2.41619761604491,10.3858333333333,3.13796980440894,15.33075,2.89990780744502,10.377,10.377
53,8.2255,3.40766468351301,7.91325,2.96613551568322,14.7785,2.72951699262214,7.6925,7.6925
54,188.326,14.2098745041014,187.334,14.3499333381389,189.057333333333,14.2136423694697,187.321666666667,187.321666666667
55,NaN,NaN,12.432,4.36238540324055,15.574,3.7385158152,12.426,12.426
56,3.88714285714287,1.37820293167294,3.945875,1.75555705972918,14.38075,2.62342916200687,3.85425,3.85425
